Time,CppFile,LogType,SourceType,SourceID,Team,Weapon,Damage,DestinationType,DestinationID,X,Y
4.110447,Engine.c,L_time,4.110447,4.110447,0.016659,1,,,,,
4.127115,Engine.c,L_time,4.127115,4.127115,0.016668,1,,,,,
4.143852,Engine.c,L_time,4.143852,4.143852,0.016737,1,,,,,
4.172785,Engine.c,L_time,4.172785,4.172785,0.028933,1,,,,,
4.202467,Engine.c,L_time,4.202467,4.202467,0.029682,1,,,,,
4.231892,Engine.c,L_time,4.231892,4.231892,0.029425,1,,,,,
4.248606,Engine.c,L_time,4.248606,4.248606,0.016714,1,,,,,
4.277935,Engine.c,L_time,4.277935,4.277935,0.029329,1,,,,,
4.299845,Engine.c,L_time,4.299845,4.299845,0.02191,1,,,,,
4.316509,Engine.c,L_time,4.316509,4.316509,0.016664,1,,,,,
4.333189,Engine.c,L_time,4.333189,4.333189,0.01668,1,,,,,
4.349888,Engine.c,L_time,4.349888,4.349888,0.016699,1,,,,,
4.366549,Engine.c,L_time,4.366549,4.366549,0.016661,1,,,,,
4.383218,Engine.c,L_time,4.383218,4.383218,0.01667,1,,,,,
4.399979,Engine.c,L_time,4.399979,4.399979,0.016761,1,,,,,
4.427345,Engine.c,L_time,4.427345,4.427345,0.027367,1,,,,,
4.455916,Engine.c,L_time,4.455916,4.455916,0.028571,1,,,,,
4.473264,Engine.c,L_time,4.473264,4.473264,0.017347,1,,,,,
4.489927,Engine.c,L_time,4.489927,4.489927,0.016664,1,,,,,
4.506625,Engine.c,L_time,4.506625,4.506625,0.016697,1,,,,,
4.523335,Engine.c,L_time,4.523335,4.523335,0.01671,1,,,,,
4.552633,Engine.c,L_time,4.552633,4.552633,0.029298,1,,,,,
4.582666,Engine.c,L_time,4.582666,4.582666,0.030033,1,,,,,
4.612717,Engine.c,L_time,4.612717,4.612717,0.030051,1,,,,,
4.642759,Engine.c,L_time,4.642759,4.642759,0.030042,1,,,,,
4.672596,Engine.c,L_time,4.672596,4.672596,0.029837,1,,,,,
4.69931,Engine.c,L_time,4.69931,4.69931,0.026714,1,,,,,
4.715912,Engine.c,L_time,4.715912,4.715912,0.016602,1,,,,,
4.732565,Engine.c,L_time,4.732565,4.732565,0.016653,1,,,,,
4.749241,Engine.c,L_time,4.749241,4.749241,0.016676,1,,,,,
4.765912,Engine.c,L_time,4.765912,4.765912,0.016671,1,,,,,
4.782591,Engine.c,L_time,4.782591,4.782591,0.016679,1,,,,,
4.79926,Engine.c,L_time,4.79926,4.79926,0.016669,1,,,,,
4.815954,Engine.c,L_time,4.815954,4.815954,0.016695,1,,,,,
4.832613,Engine.c,L_time,4.832613,4.832613,0.016658,1,,,,,
4.849309,Engine.c,L_time,4.849309,4.849309,0.016696,1,,,,,
4.865969,Engine.c,L_time,4.865969,4.865969,0.01666,1,,,,,
4.882697,Engine.c,L_time,4.882697,4.882697,0.016727,1,,,,,
4.89985,Engine.c,L_time,4.89985,4.89985,0.017153,1,,,,,
4.916507,Engine.c,L_time,4.916507,4.916507,0.016657,1,,,,,
4.933187,Engine.c,L_time,4.933187,4.933187,0.01668,1,,,,,
4.949874,Engine.c,L_time,4.949874,4.949874,0.016687,1,,,,,
4.966531,Engine.c,L_time,4.966531,4.966531,0.016657,1,,,,,
